              hetero_est  error_est
PRMS530         0.022578   0.007647
PRMS538         0.026046   0.008672
PRMS539         0.023665   0.007938
PRMS587         0.025542   0.008394
PRMS588         0.022252   0.007269
PRMS589         0.025078   0.008564
PRMS590         0.022776   0.008039
PRMS700         0.025963   0.008764
PRMS734         0.024078   0.008476
PRMS751         0.022764   0.007659
PRMS766         0.021229   0.005906
PRMS767         0.025816   0.008545
PRMS768         0.020836   0.005664
PRMS769         0.025636   0.008338
PRMS795         0.020323   0.006202
PRMS796         0.026686   0.008733
PRMS799         0.023349   0.007363
PRMS845         0.026198   0.008715
PRMS852         0.022772   0.007555
PRMS859         0.024621   0.008341
PRMS860         0.022535   0.007687
RF23            0.024442   0.008196
RF73            0.024384   0.008622
SMS473          0.022935   0.007992
SMS608          0.023781   0.008092
SMS941          0.021815   0.007700
SMS963          0.021325   0.007421
