locality,dewlap_group,country,state,latitude,longitude,bio_17,bio_16,bio_14,bio_13,bio_12,bio_11,bio_10,bio_06,bio_05,bio_01,moisture,cloudcover,elevation,slope,ruggedness,roughness,shrubs,flooded,herbaceous,deciduous,evergreen
Maturaca,Pink,Brazil,AM,0.6251,-66.1329,420,797,134,289,2305,243,255,221,284,251,0.44,7680,92.5,0.58,2.63,8.5,0,0,0,0,72
Moiobamba_margem_direita_Rio_Purus,Yellow,Brazil,AM,-4.7251,-62.1318,273,822,85,274,2354,255,264,227,294,259,0.37,7369,53.5,1.21,5.06,17,0,0,0,0,73
Pacaraima,Pink,Brazil,RR,4.4955,-61.1686,154,822,48,282,1794,213,236,183,285,227,0.15,8011,913,0.86,5,14,23,0,11,4,10
PN_Pacaas_Novos_base_Jaci,Gray,Brazil,RO,-10.5275,-63.9734,57,733,19,253,1633,244,261,197,305,252,0.12,6937,160.5,1.18,4.69,18,0,0,0,0,61
Porto_Acre_Reserva_Florestal_Humaita,Yellow,Brazil,AC,-9.7445,-67.6784,98,810,30,271,1828,238,259,198,296,250,0.11,7181,184.5,1.35,7.19,20.5,0,0,0,0,79
Porto_Velho_Abuna_margem_direita,Pink,Brazil,RO,-9.5975,-65.3674,86,675,26,230,1657,247,263,205,303,255,-0.04,6696,91,0.55,1.56,11,0,10,0,0,3
Porto_Velho_Abuna_margem_esquerda,Pink,Brazil,RO,-9.6421,-65.4471,86,679,25,231,1676,247,263,205,303,255,-0.07,6708,91,2.01,6.06,24,0,7,0,0,13
Reserva_Faunistica_Cuyabeno_Neotropic_Turis,Pink,Ecuador,SU,-0.2172,-75.8069,492,1072,151,358,3083,229,243,205,272,238,0.44,8042,251,0.66,3.88,11,0,0,0,0,100
Rio_Branco_Parque_Zoobotanico,Yellow,Brazil,AC,-9.9561,-67.8725,105,702,34,242,1636,239,261,198,299,252,0.11,7795,164,0.86,3.44,11,7,0,8,0,31
Rio_Ica_Comunidade_Cachoeirinha,Pink,Brazil,AM,-2.8842,-68.3499,552,889,179,297,3051,243,256,220,285,251,0.52,7791,101,0.62,3.63,11.5,0,0,0,0,100
Rio_Ica_Sao_Pedro,Gray,Brazil,AM,-3.0286,-68.8826,663,1124,218,382,3511,245,258,221,287,252,0.53,7249,56.5,2.02,7,19.5,0,31,0,0,45
Rio_Maraca_Igarape_Camaipi,Gray,Brazil,AP,-0.0242,-51.8972,155,898,47,304,2241,253,277,230,318,261,0.31,6872,64,2.72,11.25,36,0,0,0,0,100
Santa_Teresa,Yellow,Brazil,ES,-19.9654,-40.531,183,773,55,258,1680,178,224,146,257,202,-0.05,7562,818,13.08,48.06,160.5,10,0,0,0,85
Senador_Guiomard_Fazenda_Experimental_Catuaba,Pink,Brazil,AC,-10.0834,-67.6278,116,869,37,297,1960,236,258,194,296,249,0.11,7033,224,0.23,1.44,4,0,0,6,0,91
Serra_do_Divisor_Pe_da_Serra,Gray,Brazil,AC,-7.4398,-73.6594,265,915,85,322,2465,238,251,205,282,246,0.3,7684,283,5.75,21.5,61.5,0,0,0,0,100
Tefe,Yellow,Brazil,AM,-3.449,-64.6831,319,807,99,270,2374,249,260,225,288,255,0.32,7294,65.5,1.2,7.69,19.5,0,0,0,0,100
